title,number,additions,deletions,changedFiles,body,comments,participants,createdAt,closedAt,mergedAt,bodyCharNumber,analysisTime
News mailer fix,413,75,25,6,"Fixes link mailed out from ..../stories/... to ..../news/...
",0,2,2015-05-04T00:43:02Z,2015-05-04T20:53:03Z,2015-05-04T20:53:03Z,61,0 days 20:10:01
Fix CDN and asset pipeline and other minor improvements,414,301,34013,37,,0,4,2015-05-04T05:34:43Z,2015-05-04T20:52:27Z,2015-05-04T20:52:27Z,0,0 days 15:17:44
Fix typo and add tests for bonfire Arguments Optional,416,4,2,1,"The instructions for the bonfire Arguments Optional say to return `undefined` when either argument isn't a valid number, but the tests only cover the first argument.

This adds tests for the second argument as well, and fixes a typo.
",1,3,2015-05-05T10:04:49Z,2015-05-05T19:25:28Z,2015-05-05T19:25:28Z,234,0 days 09:20:39
Added clarification to the search and replace bonfire (21),432,2,1,1,"Fixes #431 
",0,3,2015-05-08T18:09:58Z,2015-05-09T23:36:31Z,2015-05-09T23:36:31Z,12,1 days 05:26:33
Change jQuery challenge description slightly.,434,2,2,1,"Clarifies jQuery is a Javascript library, and changes JavaScript to Javascript. Closes #433 
",0,1,2015-05-09T00:52:09Z,2015-05-09T23:38:10Z,2015-05-09T23:38:10Z,93,0 days 22:46:01
Staging,447,100,44,6,"Add OSI approved BSD-3-Clause license and update contributors in package.json
",0,1,2015-05-14T22:14:58Z,2015-05-15T01:31:35Z,2015-05-15T01:31:35Z,78,0 days 03:16:37
paircode feature,451,690,12,19,"No new dependencies.

Edits per comments found here: #322 

Slack handle is automatically populated; users specify if they want to pair on a bonfire, courseware, or both. Information is displayed conditionally on the next page, listing all the requests.

A modal pops up when the request is close to expiring; otherwise, if the user's request gets automatically deleted, a flash message informs them on the next page they visit.

:)
",4,5,2015-05-16T02:50:22Z,2015-05-23T22:15:22Z,,433,7 days 19:25:00
fix typo on line 97 of coursewwares.json,457,1,1,1,"changed line 97 in freecodecamp/seed_data/courseware.json from ""You an also comment on a link ..."" to ""You can also comment on a link ...""
",3,3,2015-05-19T04:31:28Z,2015-05-21T16:34:05Z,,139,2 days 12:02:37
Added MDN links to Bonfire 19: Diff Two Arrays,458,2,1,1,"Fixes FreeCodeCamp/freecodecamp#374

I added the following links to Bonfire 19: ""String.slice()"", ""Array.filter()"", ""Array.indexOf()"", and  ""String.concat()"".
",2,3,2015-05-19T05:47:30Z,2015-05-21T15:20:13Z,2015-05-21T15:20:13Z,159,2 days 09:32:43
"removed ""white-space: pre-line"" rule from pre.wrappable elements to p…",460,10,0,1,"…rettify bonfire solution formatting.

Before:
![phoenixstormcrow-459-before](https://cloud.githubusercontent.com/assets/2560986/7717148/2e13885a-fe51-11e4-8722-33b36241b10d.png)

After:
![phoenixstormcrow-459-after](https://cloud.githubusercontent.com/assets/2560986/7717147/2e105d24-fe51-11e4-9b91-8cdf421d6719.png)

closes #459 
",3,3,2015-05-20T01:03:32Z,2015-05-21T15:19:04Z,2015-05-21T15:19:04Z,332,1 days 14:15:32
Challenge restructure,466,10718,4613,53,"Updated challenge structure. Bonfire and Courseware no longer have separate controllers.
",0,2,2015-05-21T03:37:26Z,2015-05-21T07:12:52Z,2015-05-21T07:12:52Z,89,0 days 03:35:26
Courseware,467,2647,2701,10,,2,3,2015-05-21T13:43:48Z,2015-05-22T12:58:43Z,,0,0 days 23:14:55
Use findone in controllers/story,470,23,11,1,"also fixes some linting issues
closes #469
",0,2,2015-05-21T16:17:08Z,2015-05-22T12:54:01Z,2015-05-22T12:54:01Z,43,0 days 20:36:53
Fix to issue #535 and #532,537,3,3,1,"Fixed asserts to be more specific and descriptive.
",1,3,2015-05-26T15:18:25Z,2015-05-26T16:52:24Z,,51,0 days 01:33:59
improved tests for chunky monkey bonfire,560,1,0,1,,1,3,2015-05-26T19:52:45Z,2015-05-27T17:30:35Z,2015-05-27T17:30:35Z,0,0 days 21:37:50
Minor grammatical error,592,1,1,1,,0,3,2015-05-27T00:52:07Z,2015-05-27T02:11:50Z,2015-05-27T02:11:50Z,0,0 days 01:19:43
very minor grammatical error fixed,620,1,1,1,,0,3,2015-05-27T06:07:04Z,2015-05-27T17:29:39Z,2015-05-27T17:29:39Z,0,0 days 11:22:35
"Issue #569 fix, tests added.",623,4,2,1,"Added tests for top and right padding, as they were not present before.
",1,3,2015-05-27T07:28:01Z,2015-05-27T17:28:41Z,2015-05-27T17:28:41Z,72,0 days 10:00:40
Fix to issue #633 and a hand full of the other issues related to the challenge,641,2,0,1,"More tests added to match description
",0,3,2015-05-27T15:52:21Z,2015-05-27T17:27:49Z,2015-05-27T17:27:49Z,38,0 days 01:35:28
Update basic-html5-and-css.json,685,4,2,1,"Removed the """"You can also use this notation for margins!"""" on line 1994 
from the waypoint ""Use Clockwise Notation to Specify the Margin of an Element"" 
that was obviously copied and pasted from the padding section just prior to it. 
Since this is the margin section, this sentence was redundant.
",1,3,2015-05-28T03:14:34Z,2015-05-31T03:03:40Z,,298,2 days 23:49:06
Prevents incorrect solution to Mutations bonfire,696,2,1,1,"Prevents the following solution from being correct:

``` javascript
function mutation(arr) {
  var foo = arr[0].toLowerCase().split('').sort();
  var bar = arr[1].toLowerCase().split('').sort();
  var start = foo.indexOf(bar[0]);

  for(var i = 0; i < bar.length; i++)
    if(foo[start + i] !== bar[i]) return false;

  return true;
}
```
",0,3,2015-05-28T11:02:45Z,2015-05-31T03:04:41Z,2015-05-31T03:04:41Z,339,2 days 16:01:56
computer-science spanish translation,718,124,29,2,"Spanish translation, hope no errors were made.
",2,3,2015-05-28T20:55:30Z,2015-05-29T01:53:19Z,,47,0 days 04:57:49
es translation,725,124,29,2,"### To be reviewed
- computer-science.json **spanish translation v0.2**
- get-set-for-free-code-camp.json **spanish translation v0.1** to be checked
",0,3,2015-05-29T01:56:59Z,2015-05-31T03:06:22Z,2015-05-31T03:06:22Z,149,2 days 01:09:23
fixed bug where the 'next challenge' button in tablet view couldn't…,726,1,0,1,"…be pressed.

Beware of floats (ergo, beware of Bootstrap subtleties)
",0,3,2015-05-29T03:26:50Z,2015-05-31T03:07:32Z,2015-05-31T03:07:32Z,70,1 days 23:40:42
HTML Waypoints translated to ES [WIP],734,74,20,1,"Waypoint ""Say Hello to HTML Elements"" translated into Spanish.

Note: as HTML/CSS track is huge, I'm going to tackle it using baby steps (waypoint to waypoint).
",0,3,2015-05-29T08:53:25Z,2015-05-31T03:07:50Z,2015-05-31T03:07:50Z,161,1 days 18:14:25
Fixes sentence cut-off bug in Make Circular Images with a Border Radius,749,1,1,1,"When completing 'Make Circular Images with a Border Radius', the sentence is cut off at the comma (see left). This fixes it (see right).
![fcc-border-radius](https://cloud.githubusercontent.com/assets/3090888/7894754/a264c2e2-0670-11e5-9710-85a1c74ba40e.png)

Tested i Firefox 38 and Chromium 43.
",2,3,2015-05-30T00:10:38Z,2015-05-31T03:09:17Z,2015-05-31T03:09:17Z,297,1 days 02:58:39
Cleaner output form 'Turn an Image into a Link',751,2,2,1,"Seems like using expect() to validate code is clutters up the success message.
![fcc-to be](https://cloud.githubusercontent.com/assets/3090888/7895029/8226231e-0679-11e5-9772-4ac27765c877.png)

After a cursory glance, this was the only similar occurrence in any of the HTML/CSS Waypoints. Changing expect statemtens to assert statments in the bonfires just seemed to mess up the entire thing, and I've found them helpful, so I assume they shouldn't be replaced all over?
What is the general ""policy"" towards assert vs expect? Seems to be a somewhat even split between the two.
",1,3,2015-05-30T01:15:24Z,2015-05-31T03:09:41Z,,577,1 days 01:54:17
Incorrect seed in 'Use HTML5 to Require a Field' #703,759,2,3,1,"This fixes #703.
",1,3,2015-05-30T14:43:23Z,2015-05-31T03:11:18Z,2015-05-31T03:11:18Z,17,0 days 12:27:55
Improves 'Add Placeholder Text to a Text Field' and fixes #701,760,2,2,1,"This resolves #701 and makes 'Your placeholder field should have the value of ""cat photo URL""' false until the placeholder contains ""cat photo URL"" as opposed to the previous case-insensitive ""url"".
",2,3,2015-05-30T15:01:57Z,2015-05-31T03:12:30Z,2015-05-31T03:12:30Z,199,0 days 12:10:33
Adds some missing slashes to tag-closes. #763,764,5,5,1,"Fixes #763 and similar issues in these challenges:
- [Use CSS Selectors to Style Elements](http://www.freecodecamp.com/challenges/waypoint-use-css-selectors-to-style-elements)
- [Use a CSS Class to Style an Element](http://www.freecodecamp.com/challenges/waypoint-use-a-css-class-to-style-an-element)
- [Turn an Image into a Link](http://www.freecodecamp.com/challenges/waypoint-turn-an-image-into-a-link)
- [Create a Bulleted Unordered List](http://www.freecodecamp.com/challenges/waypoint-create-a-bulleted-unordered-list)
- [Create an Ordered List](http://www.freecodecamp.com/challenges/waypoint-create-an-ordered-list)
",1,3,2015-05-31T00:39:44Z,2015-05-31T03:19:00Z,2015-05-31T03:19:00Z,624,0 days 02:39:16
Checks all margins in 'Add Different a Margin to Each Side of an Element' #753,765,2,0,1,"Fixes #753.
~~I could make individual checks for each margin side instead of one for the 40px margins and one for the 20px margins if that would be better?~~
EDIT: I realized that the padding version of this challenge used 4 separate checks, so used that layout.
",0,3,2015-05-31T00:56:18Z,2015-05-31T03:19:40Z,2015-05-31T03:19:39Z,263,0 days 02:23:21
Improves checks in 'Create a Set of Checkboxes',766,1,1,1,"Now checks for labels with input fields of type 'checkbox' instead of just checking for labels.
",1,3,2015-05-31T01:36:56Z,2015-05-31T03:21:08Z,2015-05-31T03:21:08Z,96,0 days 01:44:12
Fixes build problems caused by JSON errors.,768,1,6,2,"@QuincyLarson and I had edited the same text, so the merge added a bunch of weird Git stuff that prevented the site from building.
",3,3,2015-05-31T11:51:56Z,2015-05-31T20:39:06Z,,131,0 days 08:47:10
A lot of minor fixes and test case improvements to the Bootstrap waypoints.,777,38,35,2,"...and a grammar fix.

I was not sure how to handle the commits, so they ended up being per challenge instead of one commit per issue over all challenges (e.g. one commit for all moves to .hasClass() and one for all the grammar fixes). Rebasing it to the latter would be a huge hassle, but I could do it if you think it would look better.

edit(berks):
closes #776 

Edit 2:
...and #769 (unless you prefer ""a Margin"" to ""Margins"")
",3,3,2015-05-31T17:48:53Z,2015-05-31T20:42:39Z,2015-05-31T20:42:39Z,431,0 days 02:53:46
Basic Javascript waypoints translated into ES [WIP],797,14,4,1,"Basic JavaScript waypoints translated into Spanish [WIP].
",5,2,2015-06-02T01:35:57Z,2015-06-03T21:46:21Z,,58,1 days 20:10:24
Changed input type from checkbox to radio and attribute comparison name from trait to personality,816,1,1,1,"Issue below:

> Challenge http://www.freecodecamp.com/challenges/waypoint-create-a-set-of-checkboxes has an >issue. Please describe how to reproduce it, and include links to screen shots if possible.
> 
> Give your radio buttons the name attribute of ""personality"".
> 
> Cannot satisfy this request. This waypoint is on checkboxes and it is asking for me to edit the radio >button. I've changed the checkboxes and the radio buttons to have name=""personality"" nothing works.

The problem seems to be in the test. If you add the name trait to a checkbox then the challenge will pass. So to fix this I just changed the input type from a checkbox to a radio (which is what the instructions tell you to do it on) and I changed the attribute comparison from trait to personality (which is what the instructions tell you to name it).

I've tested this with console.log and my update works for me. Please review and let me know.

Thanks,
Charles
",1,3,2015-06-03T06:41:47Z,2015-06-03T15:09:37Z,,938,0 days 08:27:50
Changed z-index of iframe-scroll class to 1,831,1,1,1,"Fixes the iPhone from covering up the code editor but still keeps the iPhone above the footer.
closes #830 
",3,3,2015-06-04T03:07:46Z,2015-06-04T07:17:56Z,2015-06-04T07:17:56Z,108,0 days 04:10:10
itzsaga-833,834,196,168,5,"fixed a typo in the field guide.
",2,3,2015-06-04T05:33:44Z,2015-06-04T07:41:05Z,,33,0 days 02:07:21
Fixes RegExp so it matches the class .blue-text,844,2,2,1,"Ref: #841 

The current expression on the site now works but the dot/period isn't escaped which is causing the challenge to pass that step if any characters (except line breaks) are in front of the word ""blue-text""

So to fix this I just escaped the dot/period and changed the format to literal notation.
",3,3,2015-06-05T05:35:47Z,2015-06-08T04:55:08Z,2015-06-08T04:55:08Z,305,2 days 23:19:21
Add tests for confirm the ending bonfire,846,2,0,1,"Users searching for just occurrence of target and not the position(in this case the ending of the string) in this bonfire can pass the tests. So , currently this code pass the tests

```
function end(str, target) {
  return str.split(target) != str;
}
```

Added tests to fix this flaw.
",1,3,2015-06-05T12:42:55Z,2015-06-09T20:07:24Z,2015-06-09T20:07:24Z,287,4 days 07:24:29
Fixed typo in Get Set for Ziplines waypoint.,851,1,1,1,"Changed ""Click the gear next the JavaScript."" to ""Click the gear next to the JavaScript.""
Fixes https://github.com/FreeCodeCamp/freecodecamp/issues/850
",1,2,2015-06-06T11:40:27Z,2015-06-06T17:51:05Z,2015-06-06T17:51:05Z,152,0 days 06:10:38
Removed aarmy example from descr and changed the test for it to passing,855,2,3,1,"Ref #845 
",1,3,2015-06-07T04:05:20Z,2015-06-08T04:52:51Z,2015-06-08T04:52:51Z,10,1 days 00:47:31
Fixed regexp on both ul and li opening tags,872,2,2,1,"Ref: #864 

The `ul` and `li` opening tags will now return true if a class happens to be added to either of them.
",2,3,2015-06-09T03:38:02Z,2015-06-09T19:54:30Z,2015-06-09T19:54:30Z,114,0 days 16:16:28
issue 782,878,2,1,1,"- Add link for slack channel
- Add alert message in top of first bonfire challenge to warn about outdated video
",1,3,2015-06-09T21:56:38Z,2015-06-11T05:52:03Z,2015-06-11T05:52:03Z,112,1 days 07:55:25
Fixed a word,920,1,1,1,,1,2,2015-06-14T01:55:30Z,2015-06-16T03:35:46Z,2015-06-16T03:35:46Z,0,2 days 01:40:16
Added missing MDN Link,922,2,1,1,"This bonfire ""Missing letters""seems to be missing an important MDN link to ""String.fromCharCode()"", which is needed to get the missing character to return for the test. Since the missing character is obviously not in the string supplied, you cannot get the character code for it from the string.
",1,2,2015-06-14T04:28:54Z,2015-06-16T03:37:01Z,2015-06-16T03:37:01Z,296,1 days 23:08:07
More 'Convert HTML Entities' test cases. Fixes #924,936,4,0,1,"This adds more test cases to the 'Convert HTML Entities'-bonfire. The new test cases now checks for all the characters instead of just '&', and they also check that mutlitple characters in a string is converted, preventing solutions which would only convert the first character, like this one:

``` javascript
function converter(m) {
    switch(m) {
        case '&':
            return ""&amp;"";
        case '<':
            return ""&lt;"";
        case '>':
            return ""&gt;"";
        case '""':
            return ""&quot;"";
        case ""'"":
            return ""&apos;"";
    }
}

function convert(str) {
    return str.replace(/([&<>""'])/, converter);
}
```
",0,3,2015-06-15T15:31:26Z,2015-06-19T23:00:45Z,2015-06-19T23:00:45Z,667,4 days 07:29:19
Fixed Zipline jQuery.getJSON() links.,937,5,5,1,"All anchors that linked to http://api.jquery.com/jquery.each/ now link correctly to http://api.jquery.com/jquery.getjson/.
This fixes issues #918 and #919.
",0,2,2015-06-15T15:46:29Z,2015-06-19T23:03:17Z,2015-06-19T23:03:17Z,156,4 days 07:16:48
Improves check for catphotoapp.com in 'Link to External Pages with Anchor Elements',938,1,1,1,"Makes the test case look for the case-insensitive ""http://catphotoapp.com"" instead of just ""com"" in the anchor's href attribute. I chose to use the global, case-insensitive regex instead of just `$('a').attr('href') === 'http://catphotoapp.com'` because it gives the user a bit more freedom (see trailing backslashes etc.) and I've seen it used in other test cases. Let me know if you want a stricter or looser test and I'll change it.

Fixes #914.
",0,2,2015-06-15T16:09:47Z,2015-06-19T23:05:23Z,2015-06-19T23:05:23Z,449,4 days 06:55:36
